time,n_positive,n_negative,injected_positive,injected_negative,recombination
7.273881753067e-05,1.374640915350e+08,9.393853170256e+07,1.006928302866e+06,1.006928302866e+06,1.043917744801e+05
7.304316404754e-05,1.376525628779e+08,9.391272666391e+07,1.001614677535e+06,1.001614677535e+06,1.044086837522e+05
7.334751056440e-05,1.378391779610e+08,9.388796843454e+07,1.002404104288e+06,1.002404104288e+06,1.044251242236e+05
7.365185708127e-05,1.380240376288e+08,9.386434128558e+07,1.003289088313e+06,1.003289088313e+06,1.044434511520e+05
7.395620359813e-05,1.382111496840e+08,9.384581693828e+07,1.008206763940e+06,1.008206763940e+06,1.044719070151e+05
7.426055011500e-05,1.383898554325e+08,9.382176781110e+07,1.002406015881e+06,1.002406015881e+06,1.044852861263e+05
7.456489663186e-05,1.385755588277e+08,9.380753399374e+07,1.012097818037e+06,1.012097818037e+06,1.045219243759e+05
7.486924314873e-05,1.387504023993e+08,9.378530859095e+07,1.003834707295e+06,1.003834707295e+06,1.045370431435e+05
7.517358966559e-05,1.389172542401e+08,9.375797586646e+07,9.984331862902e+05,9.984331862902e+05,1.045366231120e+05
7.547793618246e-05,1.390978701753e+08,9.374718139595e+07,1.014909583386e+06,1.014909583386e+06,1.045760721445e+05
7.578228269932e-05,1.392616165372e+08,9.372238079828e+07,1.000584308173e+06,1.000584308173e+06,1.045795543657e+05
7.608662921619e-05,1.394265211555e+08,9.370156532669e+07,1.004369790909e+06,1.004369790909e+06,1.045922651781e+05
7.639097573305e-05,1.395926369365e+08,9.368475929982e+07,1.008209309166e+06,1.008209309166e+06,1.046140525578e+05
7.669532224992e-05,1.397533423891e+08,9.366535753357e+07,1.005389853915e+06,1.005389853915e+06,1.046279295502e+05
7.699966876678e-05,1.399020749839e+08,9.363684216392e+07,9.959520476066e+05,9.959520476066e+05,1.046161988817e+05
7.730401528365e-05,1.400541332013e+08,9.361445905027e+07,1.001877633233e+06,1.001877633233e+06,1.046188728518e+05
7.760836180051e-05,1.402109842402e+08,9.359962938066e+07,1.009286888224e+06,1.009286888224e+06,1.046395471041e+05
7.791270831738e-05,1.403645067534e+08,9.358424530902e+07,1.008542772608e+06,1.008542772608e+06,1.046569071283e+05
7.821705483424e-05,1.405111621634e+08,9.356479556045e+07,1.004239683889e+06,1.004239683889e+06,1.046616003744e+05
7.852140135110e-05,1.406567566810e+08,9.354707104143e+07,1.005768317581e+06,1.005768317581e+06,1.046702467004e+05
7.882574786797e-05,1.407977213765e+08,9.352750750085e+07,1.003698550146e+06,1.003698550146e+06,1.046720560878e+05
7.913009438483e-05,1.409363504545e+08,9.350838487073e+07,1.003928241237e+06,1.003928241237e+06,1.046745835399e+05
7.943444090170e-05,1.410742490316e+08,9.349128807424e+07,1.005766882738e+06,1.005766882738e+06,1.046825081929e+05
7.973878741856e-05,1.412145657087e+08,9.347933172327e+07,1.010778157706e+06,1.010778157706e+06,1.047024974014e+05
8.004313393543e-05,1.413477613426e+08,9.346300375305e+07,1.006198737897e+06,1.006198737897e+06,1.047090728889e+05
8.034748045229e-05,1.414765929282e+08,9.344506291836e+07,1.004382075795e+06,1.004382075795e+06,1.047103489090e+05
8.065182696916e-05,1.416064477681e+08,9.343086648647e+07,1.007978159735e+06,1.007978159735e+06,1.047204996387e+05
8.095617348602e-05,1.417290588313e+08,9.341217158703e+07,1.003251292343e+06,1.003251292343e+06,1.047162298445e+05
8.126052000289e-05,1.418504899324e+08,9.339502644500e+07,1.004611868091e+06,1.004611868091e+06,1.047173790884e+05
8.156486651975e-05,1.419657009754e+08,9.337440667019e+07,1.000892386922e+06,1.000892386922e+06,1.047078566620e+05
8.186921303662e-05,1.420915734709e+08,9.336711425418e+07,1.014155400176e+06,1.014155400176e+06,1.047325837067e+05
8.217355955348e-05,1.421985211785e+08,9.334366735842e+07,9.976654135235e+05,9.976654135235e+05,1.047131917253e+05
8.247790607035e-05,1.423143852648e+08,9.333182856127e+07,1.009160118972e+06,1.009160118972e+06,1.047232642914e+05
8.278225258721e-05,1.424298837010e+08,9.332230633025e+07,1.011335744994e+06,1.011335744994e+06,1.047375413486e+05
8.308659910408e-05,1.425389013774e+08,9.330901194091e+07,1.007363990792e+06,1.007363990792e+06,1.047422107956e+05
8.339094562094e-05,1.426384133841e+08,9.328894979875e+07,1.000332263287e+06,1.000332263287e+06,1.047270811534e+05
8.369529213781e-05,1.427392260435e+08,9.327288372422e+07,1.004148375368e+06,1.004148375368e+06,1.047210954677e+05
8.399963865467e-05,1.428376812351e+08,9.325714247239e+07,1.004280771152e+06,1.004280771152e+06,1.047159385141e+05
